time	V(n003)
1.271662912603199e-002	5.065747e+000
1.273419067172411e-002	5.065739e+000
1.275544602963702e-002	5.065740e+000
1.278238843669982e-002	5.065731e+000
1.281501805959918e-002	5.065729e+000
1.287771979709896e-002	5.065713e+000
1.297537604709896e-002	5.065701e+000
1.326834479709895e-002	5.065644e+000
1.356131354709895e-002	5.065595e+000
1.385428229709895e-002	5.065538e+000
1.414725104709895e-002	5.065490e+000
1.434256354709895e-002	5.065455e+000
1.453787604709895e-002	5.065421e+000
1.473318854709895e-002	5.065385e+000
1.492850104709895e-002	5.065351e+000
1.502615729709895e-002	5.065329e+000
1.512381354709895e-002	5.065316e+000
1.522146979709895e-002	5.065294e+000
1.531912604709895e-002	5.065280e+000
1.541678229709895e-002	5.065259e+000
1.551443854709895e-002	5.065246e+000
1.561209479709895e-002	5.065224e+000
1.570975104709895e-002	5.065211e+000
1.580740729709895e-002	5.065189e+000
1.590506354709895e-002	5.065176e+000
1.600271979709895e-002	5.065154e+000
1.610037604709895e-002	5.065141e+000
1.619803229709895e-002	5.065119e+000
1.629568854709896e-002	5.065106e+000
1.639334479709896e-002	5.065084e+000
1.649100104709896e-002	5.065071e+000
1.658865729709896e-002	5.065049e+000
1.668631354709896e-002	5.065036e+000
1.678396979709896e-002	5.065014e+000
1.688162604709896e-002	5.065001e+000
1.697928229709897e-002	5.064979e+000
1.707693854709897e-002	5.064966e+000
1.717459479709897e-002	5.064944e+000
1.727225104709897e-002	5.064931e+000
1.736990729709897e-002	5.064909e+000
1.746756354709897e-002	5.064896e+000
1.756521979709897e-002	5.064874e+000
1.766287604709898e-002	5.064861e+000
1.776053229709898e-002	5.064839e+000
1.785818854709898e-002	5.064826e+000
1.795584479709898e-002	5.064805e+000
1.805350104709898e-002	5.064791e+000
1.815115729709898e-002	5.064769e+000
1.824881354709898e-002	5.064756e+000
1.834646979709899e-002	5.064734e+000
1.844412604709899e-002	5.064721e+000
1.863943854709899e-002	5.064686e+000
1.883475104709899e-002	5.064651e+000
1.903006354709899e-002	5.064617e+000
1.932303229709900e-002	5.064560e+000
1.961600104709900e-002	5.064512e+000
1.990896979709901e-002	5.064455e+000
2.020193854709901e-002	5.064407e+000
2.039725104709901e-002	5.064372e+000
2.049490729709902e-002	5.064350e+000
2.059256354709902e-002	5.064337e+000
2.069021979709902e-002	5.064315e+000
2.078787604709902e-002	5.064304e+000
2.088553229709902e-002	5.064286e+000
2.098318854709902e-002	5.064275e+000
2.108084479709902e-002	5.064253e+000
2.117850104709903e-002	5.064240e+000
2.127615729709903e-002	5.064218e+000
2.156912604709903e-002	5.064170e+000
2.186209479709904e-002	5.064113e+000
2.215506354709904e-002	5.064065e+000
2.244803229709904e-002	5.064009e+000
2.274100104709905e-002	5.063961e+000
2.303396979709905e-002	5.063904e+000
2.332693854709906e-002	5.063856e+000
2.361990729709906e-002	5.063799e+000
2.391287604709906e-002	5.063751e+000
2.420584479709907e-002	5.063694e+000
2.449881354709907e-002	5.063647e+000
2.479178229709908e-002	5.063590e+000
2.498709479709908e-002	5.063555e+000
2.528006354709908e-002	5.063507e+000
2.557303229709909e-002	5.063451e+000
2.586600104709909e-002	5.063403e+000
2.615896979709910e-002	5.063346e+000
2.645193854709910e-002	5.063298e+000
2.674490729709910e-002	5.063241e+000
2.703787604709911e-002	5.063193e+000
2.733084479709911e-002	5.063137e+000
2.762381354709912e-002	5.063089e+000
2.791678229709912e-002	5.063033e+000
2.820975104709913e-002	5.062984e+000
2.850271979709913e-002	5.062928e+000
2.860037604709913e-002	5.062915e+000
2.869803229709913e-002	5.062893e+000
2.876699253985558e-002	5.062885e+000
2.879841187722554e-002	5.062875e+000
2.881336899443000e-002	5.062878e+000
2.882076018396038e-002	5.062873e+000
2.882687770786741e-002	5.062877e+000
2.883367623092720e-002	5.062874e+000
2.883984454811432e-002	5.062881e+000
2.884689831203583e-002	5.062884e+000
2.885542358752474e-002	5.062905e+000
2.886745073171284e-002	5.062946e+000
2.887858536119828e-002	5.063018e+000
2.889043890927151e-002	5.063111e+000
2.890474101531862e-002	5.063261e+000
2.892787240367260e-002	5.063531e+000
2.894807730034425e-002	5.063792e+000
2.897223184516285e-002	5.064091e+000
2.899961058056345e-002	5.064418e+000
2.903549194003018e-002	5.064786e+000
2.907407762885500e-002	5.065119e+000
2.912899058547695e-002	5.065452e+000
2.918400829973190e-002	5.065650e+000
2.922065068187004e-002	5.065708e+000
2.925319526211947e-002	5.065736e+000
2.928998381616749e-002	5.065738e+000
2.929849502590864e-002	5.065742e+000
2.931163029868351e-002	5.065736e+000
2.932428325267826e-002	5.065739e+000
2.933795982901833e-002	5.065732e+000
2.935078692736697e-002	5.065734e+000
2.936465839873586e-002	5.065728e+000
2.938187041708883e-002	5.065729e+000
2.940407332595236e-002	5.065721e+000
2.943669307259898e-002	5.065719e+000
2.949203520446600e-002	5.065705e+000
2.958969145446600e-002	5.065691e+000
2.978500395446601e-002	5.065657e+000
3.007797270446601e-002	5.065600e+000
3.037094145446602e-002	5.065552e+000
3.066391020446602e-002	5.065495e+000
3.095687895446602e-002	5.065447e+000
3.115219145446603e-002	5.065412e+000
3.134750395446603e-002	5.065377e+000
3.154281645446603e-002	5.065342e+000
3.164047270446603e-002	5.065320e+000
3.173812895446603e-002	5.065307e+000
3.183578520446603e-002	5.065285e+000
3.193344145446603e-002	5.065272e+000
3.203109770446604e-002	5.065250e+000
3.212875395446604e-002	5.065237e+000
3.222641020446604e-002	5.065215e+000
3.232406645446604e-002	5.065202e+000
3.242172270446604e-002	5.065180e+000
3.251937895446604e-002	5.065167e+000
3.261703520446604e-002	5.065145e+000
3.271469145446605e-002	5.065132e+000
3.281234770446605e-002	5.065110e+000
3.291000395446605e-002	5.065097e+000
3.300766020446605e-002	5.065075e+000
3.310531645446605e-002	5.065062e+000
3.320297270446605e-002	5.065041e+000
3.330062895446605e-002	5.065027e+000
3.339828520446606e-002	5.065005e+000
3.349594145446606e-002	5.064992e+000
3.359359770446606e-002	5.064970e+000
3.369125395446606e-002	5.064957e+000
3.378891020446606e-002	5.064936e+000
3.388656645446606e-002	5.064922e+000
3.398422270446606e-002	5.064900e+000
3.408187895446607e-002	5.064888e+000
3.417953520446607e-002	5.064866e+000
3.427719145446607e-002	5.064852e+000
3.437484770446607e-002	5.064831e+000
3.447250395446607e-002	5.064817e+000
3.457016020446607e-002	5.064796e+000
3.466781645446607e-002	5.064783e+000
3.476547270446607e-002	5.064761e+000
3.486312895446608e-002	5.064747e+000
3.496078520446608e-002	5.064726e+000
3.505844145446608e-002	5.064713e+000
3.515609770446608e-002	5.064691e+000
3.535141020446608e-002	5.064656e+000
3.554672270446609e-002	5.064621e+000
3.574203520446609e-002	5.064586e+000
3.603500395446609e-002	5.064538e+000
3.632797270446610e-002	5.064481e+000
3.662094145446610e-002	5.064433e+000
3.691391020446611e-002	5.064377e+000
3.701156645446611e-002	5.064363e+000
3.710922270446611e-002	5.064342e+000
3.720687895446611e-002	5.064329e+000
3.730453520446611e-002	5.064307e+000
3.740219145446611e-002	5.064294e+000
3.749984770446611e-002	5.064277e+000
3.759750395446612e-002	5.064267e+000
3.769516020446612e-002	5.064246e+000
3.779281645446612e-002	5.064233e+000
3.789047270446612e-002	5.064211e+000
3.808578520446612e-002	5.064176e+000
3.837875395446613e-002	5.064128e+000
3.867172270446613e-002	5.064071e+000
3.896469145446613e-002	5.064023e+000
3.925766020446614e-002	5.063967e+000
3.955062895446614e-002	5.063919e+000
3.984359770446615e-002	5.063862e+000
4.013656645446615e-002	5.063814e+000
4.042953520446616e-002	5.063757e+000
4.072250395446616e-002	5.063709e+000
4.101547270446616e-002	5.063653e+000
4.130844145446617e-002	5.063605e+000
4.160141020446617e-002	5.063548e+000
4.179672270446617e-002	5.063513e+000
4.208969145446618e-002	5.063465e+000
4.238266020446618e-002	5.063409e+000
4.267562895446619e-002	5.063361e+000
4.296859770446619e-002	5.063304e+000
4.326156645446620e-002	5.063256e+000
4.355453520446620e-002	5.063200e+000
4.384750395446620e-002	5.063151e+000
4.414047270446621e-002	5.063095e+000
4.443344145446621e-002	5.063047e+000
4.472641020446622e-002	5.062991e+000
4.501937895446622e-002	5.062943e+000
4.521469145446622e-002	5.062908e+000
4.531234770446622e-002	5.062886e+000
4.541000395446623e-002	5.062873e+000
4.545282276010669e-002	5.062861e+000
4.547387140385036e-002	5.062862e+000
4.548508682638433e-002	5.062857e+000
4.549175798668238e-002	5.062860e+000
4.549791797136742e-002	5.062857e+000
4.550443857575490e-002	5.062864e+000
4.551101764513663e-002	5.062865e+000
4.551887517884116e-002	5.062881e+000
4.553017294246815e-002	5.062912e+000
4.554013417350063e-002	5.062967e+000
4.555245655292160e-002	5.063053e+000
4.556486830970585e-002	5.063174e+000
4.558339799465017e-002	5.063377e+000
4.560677336650747e-002	5.063673e+000
4.563127839467302e-002	5.063979e+000
4.565910969649487e-002	5.064319e+000
4.568909935638819e-002	5.064641e+000
4.577538416679535e-002	5.065327e+000
4.583368917665029e-002	5.065586e+000
4.587545241784155e-002	5.065675e+000
4.590796888591914e-002	5.065712e+000
4.594700898459583e-002	5.065720e+000
4.596290180683117e-002	5.065724e+000
4.597870801836094e-002	5.065719e+000
4.599446328874043e-002	5.065721e+000
4.600879479552713e-002	5.065714e+000
4.602513267358461e-002	5.065715e+000
4.604424135583494e-002	5.065708e+000
4.606969094238392e-002	5.065707e+000
4.610727034964197e-002	5.065697e+000
4.617535627962138e-002	5.065689e+000
4.627301252962138e-002	5.065667e+000
4.656598127962138e-002	5.065619e+000
4.685895002962139e-002	5.065562e+000
4.715191877962139e-002	5.065514e+000
4.744488752962139e-002	5.065457e+000
4.764020002962140e-002	5.065422e+000
4.783551252962140e-002	5.065387e+000
4.803082502962140e-002	5.065352e+000
